name,ingredients,steps
Taha Scrambled Eggs,eggs:2;butter:1;salt:1;pepper:1,Taha cracks eggs into a large bowl;Babak whisks eggs with salt and pepper until fluffy;Parisa heats butter in a non-stick pan over medium heat;Paria pours eggs into pan and stirs gently;Artin serves the creamy scrambled eggs on a warm plate
Babak Omelet,eggs:2;tomato:1;cheese:1,Babak beats eggs in a mixing bowl until smooth;Parisa dices fresh tomato into small cubes;Paria grates cheese and adds to the egg mixture;Artin pours mixture into hot pan and cooks until edges set;Amirreza folds omelet in half and serves golden brown
Parisa Egg Sandwich,bread:2;eggs:1;butter:1;salt:1,Parisa toasts bread slices until crispy golden;Paria fries egg sunny-side up with a pinch of salt;Artin spreads butter on warm toast;Amirreza assembles sandwich with egg between bread;Mahdis cuts sandwich diagonally and serves
Paria Chicken Soup,chicken:1;carrot:1;potato:1;salt:1;pepper:1,Paria washes and cuts chicken into pieces;Artin peels and dices carrots and potatoes;Amirreza boils chicken in large pot with vegetables;Mahdis seasons with salt and pepper to taste;Mahdi simmers for 45 minutes until tender and serves hot
Artin Chicken Pilaf,chicken:1;rice:1;butter:1;salt:1,Artin rinses rice until water runs clear;Amirreza sautes chicken pieces in butter until golden;Mahdis adds rice and stirs to coat with butter;Mahdi pours in water and brings to boil;Elahe covers and cooks on low heat until rice is fluffy
Amirreza Beef Stew,beef:1;potato:1;carrot:1;tomato:1;salt:1,Amirreza cuts beef into bite-sized cubes;Mahdis browns beef in hot oil until seared;Mahdi adds diced potatoes carrots and tomatoes;Elahe seasons with salt and covers pot;Amirali simmers stew for two hours until meat is tender
Mahdis Fruit Salad,apple:1;banana:1;lettuce:1,Mahdis washes and cores fresh apples;Mahdi peels and slices ripe bananas;Elahe tears lettuce into bite-sized pieces;Amirali tosses all fruits together in large bowl;Kosar drizzles with honey and serves chilled
Mahdi Grilled Cheese,bread:2;cheese:2;butter:1,Mahdi spreads butter on outside of bread slices;Elahe places cheese between two bread slices;Amirali heats pan over medium-low heat;Kosar grills sandwich until golden and cheese melts;Erfan flips carefully and serves hot
Elahe Fried Rice,rice:2;eggs:1;carrot:1;onion:1;oil:1,Elahe cooks rice and lets it cool completely;Amirali dices carrots and onions finely;Kosar scrambles eggs in hot oil and sets aside;Erfan stir-fries vegetables until tender;Amirhossein combines rice eggs and vegetables and seasons
Amirali Pancakes,flour:2;eggs:1;milk:1;sugar:1;butter:1,Amirali sifts flour into large mixing bowl;Kosar whisks eggs milk and sugar together;Erfan combines wet and dry ingredients until smooth;Amirhossein melts butter on hot griddle;Koorosh pours batter and flips pancakes when bubbles form
